epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.13996,1.07735,2.99051,1.46208,0.00389,1,0.41212,0.32295,0.50381,2.92821,1.12273,8e-05,8e-05,8e-05
2,2.99004,0.90602,2.39954,1.29527,0.00389,1,0.76743,0.60979,0.50186,2.87587,1.16806,0.000178218,0.000178218,0.000178218
3,3.78658,1.02168,1.99695,1.46671,0.00389,1,0.85704,0.66688,0.42533,2.83177,1.10718,0.000274456,0.000274456,0.000274456
4,4.57712,0.98651,1.61749,1.39291,0.00389,1,0.79872,0.66777,0.49883,2.7466,1.08893,0.000368714,0.000368714,0.000368714
5,5.35469,0.90518,1.46991,1.39592,1,0.25438,0.85697,0.71069,0.57509,2.59262,1.15916,0.000460992,0.000460992,0.000460992
6,6.12617,0.86762,1.82764,1.36639,1,0.84645,0.85699,0.68582,0.66881,2.26807,1.20217,0.00055129,0.00055129,0.00055129
7,6.8964,0.79982,1.56656,1.31724,0.95836,0.85714,0.85713,0.62449,0.80455,2.33817,1.34633,0.000639608,0.000639608,0.000639608
8,7.65983,0.88149,1.4082,1.32843,1,0.64807,0.85702,0.70874,0.75517,2.29422,1.21635,0.000725946,0.000725946,0.000725946
9,8.42631,0.79934,1.51262,1.35556,0.97731,0.85714,0.85685,0.63528,0.72428,2.15304,1.23917,0.000810304,0.000810304,0.000810304
10,9.28645,0.78878,1.40157,1.23223,0.97102,0.85714,0.85641,0.5989,0.89066,2.20303,1.46989,0.000892682,0.000892682,0.000892682
11,10.1009,0.93606,1.99705,1.40002,0.87739,0.85714,0.85654,0.63209,1.03455,2.47557,1.61766,0.00097308,0.00097308,0.00097308
12,10.8402,0.8614,1.41361,1.35413,0.83394,0.85714,0.79579,0.61956,0.89405,2.34806,1.42488,0.0010515,0.0010515,0.0010515
13,11.5822,0.72151,1.34674,1.11189,0.98876,0.85714,0.86083,0.74764,0.73722,1.87005,1.30084,0.00112794,0.00112794,0.00112794
14,12.3134,1.04467,1.33284,1.44168,0.98876,0.85714,0.86083,0.74764,0.73722,1.87005,1.30084,0.00120239,0.00120239,0.00120239
15,13.0662,0.78369,1.13797,1.23405,0.99366,0.85714,0.86278,0.75348,0.66356,1.64462,1.29439,0.00127487,0.00127487,0.00127487
16,13.8285,0.79979,1.20505,1.26367,0.99616,0.85714,0.86033,0.74233,0.69795,1.70905,1.21371,0.00134537,0.00134537,0.00134537
17,14.5818,1.06159,1.34324,1.37562,0.96791,0.85714,0.86254,0.74401,0.70415,1.85388,1.34314,0.00141389,0.00141389,0.00141389
18,15.3442,0.96116,1.49284,1.28881,0.96791,0.85714,0.86254,0.74401,0.70415,1.85388,1.34314,0.00148043,0.00148043,0.00148043
19,16.1202,0.78459,1.22774,1.19158,0.98591,0.85714,0.86756,0.70913,0.79137,1.91009,1.36562,0.00154498,0.00154498,0.00154498
20,16.8858,0.94423,1.2429,1.38493,0.69645,0.71429,0.79548,0.60817,0.85181,2.01566,1.38826,0.00160756,0.00160756,0.00160756
21,17.6271,0.78355,1.12489,1.24199,0.69645,0.71429,0.79548,0.60817,0.85181,2.01566,1.38826,0.001604,0.001604,0.001604
22,18.3955,0.97593,1.22999,1.35637,0.62476,0.71429,0.65585,0.50262,0.86189,3.13567,1.42179,0.0015842,0.0015842,0.0015842
23,19.1871,0.69987,1.06461,1.19939,0.90606,0.71429,0.82833,0.62196,1.08896,2.57026,1.6502,0.0015644,0.0015644,0.0015644
24,19.9363,0.92524,1.2274,1.29931,0.90606,0.71429,0.82833,0.62196,1.08896,2.57026,1.6502,0.0015446,0.0015446,0.0015446
25,20.6799,0.87679,1.1735,1.31159,0.97922,0.85714,0.91265,0.75457,0.8549,1.7118,1.37735,0.0015248,0.0015248,0.0015248
26,21.5152,0.96842,1.17773,1.42712,0.97922,0.85714,0.91265,0.75457,0.8549,1.7118,1.37735,0.001505,0.001505,0.001505
27,22.2973,0.90067,1.23984,1.31129,0.99519,0.85714,0.96389,0.7812,0.77871,1.62069,1.28216,0.0014852,0.0014852,0.0014852
28,23.0521,0.76808,1.01781,1.21508,0.69608,0.9832,0.913,0.67436,0.82532,1.7393,1.30045,0.0014654,0.0014654,0.0014654
29,23.786,0.99413,1.19909,1.28421,0.69608,0.9832,0.913,0.67436,0.82532,1.7393,1.30045,0.0014456,0.0014456,0.0014456
30,24.5401,0.8159,1.06264,1.27834,0.68522,0.71429,0.67362,0.44064,1.06368,2.53639,1.40526,0.0014258,0.0014258,0.0014258
31,25.2794,1.03456,1.26508,1.39769,0.77877,0.85714,0.87524,0.62701,0.85461,2.08148,1.28494,0.001406,0.001406,0.001406
32,26.0145,0.81612,0.98464,1.24054,0.77877,0.85714,0.87524,0.62701,0.85461,2.08148,1.28494,0.0013862,0.0013862,0.0013862
33,26.753,0.97966,1.11068,1.2761,0.82292,0.85714,0.925,0.69736,0.84994,2.29417,1.20182,0.0013664,0.0013664,0.0013664
34,27.4504,0.86889,0.97882,1.18254,0.82292,0.85714,0.925,0.69736,0.84994,2.29417,1.20182,0.0013466,0.0013466,0.0013466
35,28.2307,0.73855,0.88782,1.15019,0.77079,0.85714,0.89269,0.63002,0.91939,2.45549,1.22781,0.0013268,0.0013268,0.0013268
36,28.9846,0.80911,1.12311,1.33065,0.66238,0.71429,0.69687,0.49175,0.96295,1.94835,1.46682,0.001307,0.001307,0.001307
37,29.7352,0.73796,0.97935,1.13702,0.66238,0.71429,0.69687,0.49175,0.96295,1.94835,1.46682,0.0012872,0.0012872,0.0012872
38,30.5042,0.71462,0.8704,1.12341,0.63836,0.85714,0.79158,0.62358,0.91028,1.87318,1.41804,0.0012674,0.0012674,0.0012674
39,31.2542,0.82822,1.03008,1.21356,0.73182,0.71429,0.7499,0.47862,1.07019,2.82311,1.70946,0.0012476,0.0012476,0.0012476
40,31.9766,0.5666,2.79853,0.91209,0.73182,0.71429,0.7499,0.47862,1.07019,2.82311,1.70946,0.0012278,0.0012278,0.0012278
41,32.8283,0.86283,1.12642,1.29287,0.77807,0.71429,0.76459,0.53334,0.95863,1.96621,1.53539,0.001208,0.001208,0.001208
42,33.5651,0.73078,0.89817,1.13938,0.77807,0.71429,0.76459,0.53334,0.95863,1.96621,1.53539,0.0011882,0.0011882,0.0011882
43,34.3324,0.88896,1.1249,1.31916,0.79707,0.71429,0.79889,0.66311,0.87323,1.55896,1.5527,0.0011684,0.0011684,0.0011684
44,35.0925,0.82761,0.93517,1.28237,1,0.81609,0.91625,0.74329,0.68508,1.04694,1.36476,0.0011486,0.0011486,0.0011486
45,35.8804,0.7696,0.91186,1.11193,1,0.81609,0.91625,0.74329,0.68508,1.04694,1.36476,0.0011288,0.0011288,0.0011288
46,36.6301,0.96993,0.9496,1.45582,0.96306,0.85714,0.93667,0.77081,0.64837,1.05023,1.32075,0.001109,0.001109,0.001109
47,37.3924,0.72777,0.86337,1.15646,0.97557,0.85714,0.925,0.79025,0.67042,0.95403,1.31574,0.0010892,0.0010892,0.0010892
48,38.1748,0.72829,0.88202,1.10862,0.97557,0.85714,0.925,0.79025,0.67042,0.95403,1.31574,0.0010694,0.0010694,0.0010694
49,38.9568,0.80969,0.93239,1.23176,1,0.81633,0.87219,0.75516,0.75595,1.08348,1.36989,0.0010496,0.0010496,0.0010496
50,39.7026,0.78305,0.77567,1.13992,1,0.81633,0.87219,0.75516,0.75595,1.08348,1.36989,0.0010298,0.0010298,0.0010298
51,40.4696,0.84796,0.95266,1.25592,0.83679,0.85714,0.8399,0.69038,0.80705,1.35813,1.3605,0.00101,0.00101,0.00101
52,41.2474,0.66655,0.75746,1.09673,1,0.83172,0.85638,0.72129,0.69141,1.23768,1.22573,0.0009902,0.0009902,0.0009902
53,42.0137,0.69118,0.79657,1.08814,1,0.83172,0.85638,0.72129,0.69141,1.23768,1.22573,0.0009704,0.0009704,0.0009704
54,42.7835,0.72148,0.8344,1.18309,0.95463,0.85714,0.85576,0.74325,0.62768,1.15234,1.17017,0.0009506,0.0009506,0.0009506
55,43.5353,0.62317,0.85078,1.0504,0.95371,0.85714,0.85577,0.73266,0.61251,1.08504,1.17112,0.0009308,0.0009308,0.0009308
56,44.3808,0.65826,0.80547,1.14982,0.95371,0.85714,0.85577,0.73266,0.61251,1.08504,1.17112,0.000911,0.000911,0.000911
57,45.1271,0.79008,0.89747,1.14257,1,0.85398,0.85576,0.75374,0.61175,1.02407,1.1751,0.0008912,0.0008912,0.0008912
58,45.874,0.70571,0.75848,1.14,1,0.85398,0.85576,0.75374,0.61175,1.02407,1.1751,0.0008714,0.0008714,0.0008714
59,46.6346,0.65858,0.84099,1.09665,0.9029,0.85714,0.85574,0.73454,0.60622,1.02061,1.16771,0.0008516,0.0008516,0.0008516
60,47.3958,0.66431,0.7417,1.06947,0.98674,0.85714,0.85943,0.77901,0.58378,1.00598,1.15121,0.0008318,0.0008318,0.0008318
61,48.1333,0.85029,0.85735,1.65639,0.98674,0.85714,0.85943,0.77901,0.58378,1.00598,1.15121,0.000812,0.000812,0.000812
62,48.8975,0.62858,0.82409,1.05068,0.98293,0.85714,0.85813,0.78865,0.59411,1.0255,1.09275,0.0007922,0.0007922,0.0007922
63,49.6469,0.6006,0.82244,1.06533,0.97774,0.85714,0.85705,0.74898,0.55133,0.96553,1.0652,0.0007724,0.0007724,0.0007724
64,50.3973,0.66965,0.83307,1.06823,0.97774,0.85714,0.85705,0.74898,0.55133,0.96553,1.0652,0.0007526,0.0007526,0.0007526
65,51.1665,0.69648,0.83313,1.20086,0.97215,0.85714,0.85656,0.74766,0.57822,0.90971,1.10198,0.0007328,0.0007328,0.0007328
66,51.8646,0.55074,0.6849,1.04671,0.97215,0.85714,0.85656,0.74766,0.57822,0.90971,1.10198,0.000713,0.000713,0.000713
67,52.5925,0.62206,0.77137,1.1526,0.9573,0.85714,0.85635,0.7424,0.57286,0.94107,1.1095,0.0006932,0.0006932,0.0006932
68,53.3447,0.59474,0.66302,1.10772,0.91369,0.85714,0.85659,0.74479,0.56759,0.97194,1.07179,0.0006734,0.0006734,0.0006734
69,54.0666,0.58337,0.66126,1.05912,0.91369,0.85714,0.85659,0.74479,0.56759,0.97194,1.07179,0.0006536,0.0006536,0.0006536
70,54.7981,0.65634,0.81874,1.17345,0.85504,0.85714,0.85668,0.75878,0.60604,1.00619,1.06978,0.0006338,0.0006338,0.0006338
71,55.5394,1.04806,1.6356,1.45521,0.93692,0.85714,0.85762,0.76001,0.60608,0.98851,1.08712,0.000614,0.000614,0.000614
72,56.2394,0.83116,0.85138,1.23553,0.93692,0.85714,0.85762,0.76001,0.60608,0.98851,1.08712,0.0005942,0.0005942,0.0005942
73,57.0504,0.75289,0.72921,1.10531,0.92268,0.85714,0.8636,0.74424,0.56286,0.92869,1.08658,0.0005744,0.0005744,0.0005744
74,57.773,0.7225,0.7441,1.22019,0.92268,0.85714,0.8636,0.74424,0.56286,0.92869,1.08658,0.0005546,0.0005546,0.0005546
75,58.5271,0.54562,0.75576,1.09624,0.94298,0.85714,0.8671,0.76256,0.55811,0.90718,1.09767,0.0005348,0.0005348,0.0005348
76,59.2724,0.60428,0.75587,1.06967,0.94558,0.85714,0.875,0.77642,0.56086,0.91762,1.0782,0.000515,0.000515,0.000515
77,60.1775,0.62304,0.74802,1.17648,0.94558,0.85714,0.875,0.77642,0.56086,0.91762,1.0782,0.0004952,0.0004952,0.0004952
78,61.2522,0.56321,0.69223,1.06678,0.84724,0.85714,0.855,0.77044,0.58348,0.96753,1.07289,0.0004754,0.0004754,0.0004754
79,62.5158,0.62549,0.72556,1.1016,0.84887,0.85714,0.84741,0.75048,0.6017,0.95782,1.1121,0.0004556,0.0004556,0.0004556
80,63.5737,0.6032,0.67855,1.05015,0.84887,0.85714,0.84741,0.75048,0.6017,0.95782,1.1121,0.0004358,0.0004358,0.0004358
81,64.6245,0.60732,0.76668,1.04693,0.87463,0.85714,0.86773,0.74475,0.58742,0.93056,1.13734,0.000416,0.000416,0.000416
82,65.5958,0.63145,0.74997,1.11791,0.87463,0.85714,0.86773,0.74475,0.58742,0.93056,1.13734,0.0003962,0.0003962,0.0003962
83,66.5765,0.7039,0.74708,1.12573,0.85371,0.85714,0.86861,0.7439,0.56904,0.9224,1.14567,0.0003764,0.0003764,0.0003764
84,67.5567,0.51361,0.63107,0.9807,0.85342,0.85714,0.86789,0.75432,0.56269,0.86549,1.14608,0.0003566,0.0003566,0.0003566
